distance,down,up
70,24,8
150,24,8
220,24,8
290,24,8
360,24,8
430,24,8
510,24,8
580,23.9,8
650,23.8,8
720,23.7,8
800,23.5,8
870,23.3,8
940,23,8
1010,22.7,8
1090,22.4,8
1160,22.1,8
1230,21.7,8
1300,21.4,8
1380,21,8
1450,20.6,8
1520,20.2,8
1590,19.7,8
1670,19.3,8
1740,18.8,8
1810,18.2,8
1880,17.6,8
1960,16.8,8
2030,16.2,8
2100,15.7,8
2170,15,8
2250,14.4,8
2320,13.9,7.9
2390,13.4,7.9
2460,12.9,7.9
2530,12.3,7.8
2610,11.8,7.8
2680,11.2,7.7
2750,10.5,7.5
2820,10,7.3
2900,9.5,7.1
2970,9,6.9
3040,8.5,6.7
3110,8,6.5
3190,7.5,6.2
3260,7.1,5.8
3330,6.7,5.6
3400,6.3,5.4
3480,6,5.2
3550,5.6,5
3620,5.3,4.8
3690,5,4.6
3770,4.7,4.4
3840,4.4,4.2
3910,4.2,4
3980,3.9,3.8
4060,3.7,3.6
4130,3.4,3.4
4200,3.2,3.2
4270,2.9,2.9
4350,2.7,2.7
4420,2.5,2.5
4490,2.3,2.3
4560,2.1,2.1
4630,2,2
4710,1.8,1.8
4780,1.7,1.6
4850,1.6,1.4
4920,1.5,1.2
5000,1.4,1
5070,1.3,0.8